id,gtfs_id,stop_id
401,ORLEANS:StopArea:00012901,397
402,ORLEANS:StopArea:00001045,398
403,ORLEANS:StopArea:00001046,399
404,ORLEANS:StopArea:00013101,400
405,ORLEANS:StopArea:00013100,401
406,ORLEANS:StopArea:00013200,402
407,ORLEANS:StopArea:00013201,403
408,ORLEANS:StopArea:00013300,404
409,ORLEANS:StopArea:00013301,405
410,ORLEANS:StopArea:00013501,406
411,ORLEANS:StopArea:00013500,407
412,ORLEANS:StopArea:00056201,408
413,ORLEANS:StopArea:00056202,409
414,ORLEANS:StopArea:TDRHOM2,410
415,ORLEANS:StopArea:TDRHOM1,411
416,ORLEANS:StopArea:00013820,412
417,ORLEANS:StopArea:00013821,413
418,ORLEANS:StopArea:00013850,414
419,ORLEANS:StopArea:00013851,415
420,ORLEANS:StopArea:00013902,416
421,ORLEANS:StopArea:01013704,417
422,ORLEANS:StopArea:01013703,418
423,ORLEANS:StopArea:00014200,419
424,ORLEANS:StopArea:00014201,420
425,ORLEANS:StopArea:01077402,421
426,ORLEANS:StopArea:01077401,422
427,ORLEANS:StopArea:00014311,423
428,ORLEANS:StopArea:00014310,424
429,ORLEANS:StopArea:01037003,425
430,ORLEANS:StopArea:01037004,426
431,ORLEANS:StopArea:00015101,427
432,ORLEANS:StopArea:00015100,428
433,ORLEANS:StopArea:00015402,429
434,ORLEANS:StopArea:00030352,430
435,ORLEANS:StopArea:00030350,431
436,ORLEANS:StopArea:01030202,432
437,ORLEANS:StopArea:00043200,433
438,ORLEANS:StopArea:00015301,434
439,ORLEANS:StopArea:00015300,435
440,ORLEANS:StopArea:00015305,436
441,ORLEANS:StopArea:00015304,437
442,ORLEANS:StopArea:00015500,438
443,ORLEANS:StopArea:00015501,439
444,ORLEANS:StopArea:TVIGNA2,440
445,ORLEANS:StopArea:01003605,440
446,ORLEANS:StopArea:TVIGNA1,441
447,ORLEANS:StopArea:01003606,441
448,ORLEANS:StopArea:00038950,442
449,ORLEANS:StopArea:00038951,443
450,ORLEANS:StopArea:00015800,444
451,ORLEANS:StopArea:00015801,445
452,ORLEANS:StopArea:P0005001,446
453,ORLEANS:StopArea:P0005002,447
454,ORLEANS:StopArea:00016001,448
455,ORLEANS:StopArea:00016000,449
456,ORLEANS:StopArea:00016101,450
457,ORLEANS:StopArea:00016100,451
458,ORLEANS:StopArea:00008701,452
459,ORLEANS:StopArea:01005402,452
460,ORLEANS:StopArea:01062604,453
461,ORLEANS:StopArea:01062603,454
462,ORLEANS:StopArea:00016211,455
463,ORLEANS:StopArea:00016210,456
464,ORLEANS:StopArea:01070701,457
465,ORLEANS:StopArea:01070702,458
466,ORLEANS:StopArea:01050004,459
467,ORLEANS:StopArea:01050003,460
468,ORLEANS:StopArea:00055901,461
469,ORLEANS:StopArea:00055900,462
470,ORLEANS:StopArea:AF006520,463
471,ORLEANS:StopArea:01066202,464
472,ORLEANS:StopArea:00016601,465
473,ORLEANS:StopArea:00016600,466
474,ORLEANS:StopArea:00024201,467
475,ORLEANS:StopArea:00024200,468
476,ORLEANS:StopArea:01031604,469
477,ORLEANS:StopArea:01031603,470
478,ORLEANS:StopArea:00016800,471
479,ORLEANS:StopArea:TGARDO1,472
480,ORLEANS:StopArea:TGARDO2,473
481,ORLEANS:StopArea:00017065,474
482,ORLEANS:StopArea:TAUBRA1,475
483,ORLEANS:StopArea:TAUBRA2,476
484,ORLEANS:StopArea:01002103,477
485,ORLEANS:StopArea:01002105,478
486,ORLEANS:StopArea:01002104,479
487,ORLEANS:StopArea:01001714,480
488,ORLEANS:StopArea:01001713,481
489,ORLEANS:StopArea:01001712,482
490,ORLEANS:StopArea:01001711,483
491,ORLEANS:StopArea:01001710,484
492,ORLEANS:StopArea:01001709,485
493,ORLEANS:StopArea:00017056,486
494,ORLEANS:StopArea:00017070,487
495,ORLEANS:StopArea:00017071,488
496,ORLEANS:StopArea:00017072,489
497,ORLEANS:StopArea:00054701,490
498,ORLEANS:StopArea:00054702,491
499,ORLEANS:StopArea:00054700,492
500,ORLEANS:StopArea:01017002,493
501,ORLEANS:StopArea:01017001,494
502,ORLEANS:StopArea:00017121,495
503,ORLEANS:StopArea:00017120,496
504,ORLEANS:StopArea:00026501,497
505,ORLEANS:StopArea:00026500,498
506,ORLEANS:StopArea:00017201,499
507,ORLEANS:StopArea:00017200,500
508,ORLEANS:StopArea:00017301,501
509,ORLEANS:StopArea:00017300,502
510,ORLEANS:StopArea:TGAUBR2,503
511,ORLEANS:StopArea:00017322,504
512,ORLEANS:StopArea:TGAUBR1,505
513,ORLEANS:StopArea:00017323,506
514,ORLEANS:StopArea:01047602,507
515,ORLEANS:StopArea:00017400,508
516,ORLEANS:StopArea:00050803,509
517,ORLEANS:StopArea:00050802,510
518,ORLEANS:StopArea:00017512,511
519,ORLEANS:StopArea:00017513,512
520,ORLEANS:StopArea:00016701,513
521,ORLEANS:StopArea:TPOMPI1,514
522,ORLEANS:StopArea:TPOMPI2,514
523,ORLEANS:StopArea:00017523,515
524,ORLEANS:StopArea:00017522,516
525,ORLEANS:StopArea:00043700,517
526,ORLEANS:StopArea:00043701,518
527,ORLEANS:StopArea:00017600,519
528,ORLEANS:StopArea:00017601,520
529,ORLEANS:StopArea:00017700,521
530,ORLEANS:StopArea:00017800,522
531,ORLEANS:StopArea:00017801,523
532,ORLEANS:StopArea:00017903,524
533,ORLEANS:StopArea:00017902,525
534,ORLEANS:StopArea:00018003,526
535,ORLEANS:StopArea:00018000,527
536,ORLEANS:StopArea:00018001,528
537,ORLEANS:StopArea:00018002,529
538,ORLEANS:StopArea:00026810,530
539,ORLEANS:StopArea:00026811,531
540,ORLEANS:StopArea:00044801,532
541,ORLEANS:StopArea:00044800,533
542,ORLEANS:StopArea:00018045,534
543,ORLEANS:StopArea:00018406,535
544,ORLEANS:StopArea:01022203,536
545,ORLEANS:StopArea:01022201,537
546,ORLEANS:StopArea:01022204,538
547,ORLEANS:StopArea:00018126,539
548,ORLEANS:StopArea:01040804,540
549,ORLEANS:StopArea:00018122,541
550,ORLEANS:StopArea:00018201,542
551,ORLEANS:StopArea:00018200,543
552,ORLEANS:StopArea:00054800,544
553,ORLEANS:StopArea:00054801,545
554,ORLEANS:StopArea:00018300,546
555,ORLEANS:StopArea:00018301,547
556,ORLEANS:StopArea:TGVILL2,548
557,ORLEANS:StopArea:00018402,548
558,ORLEANS:StopArea:TGVILL1,549
559,ORLEANS:StopArea:00018401,549
560,ORLEANS:StopArea:00018501,550
561,ORLEANS:StopArea:00018500,551
562,ORLEANS:StopArea:00018800,552
563,ORLEANS:StopArea:00018801,553
564,ORLEANS:StopArea:01071701,554
565,ORLEANS:StopArea:01071702,555
566,ORLEANS:StopArea:00019043,556
567,ORLEANS:StopArea:01003508,557
